Air_Carrier,Event_Date,Country,Location,Airport_Name,Latitude,Longitude,Weather_Condition,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,City,State,Countries,Country_Fatal,Country_Uninjured,US_States,States_Fatal,States_Uninjured
AIR EXECUTIVE AIRCRAFT MANAGEMENT INC,4/1/2010,United States,"Wichita Falls, TX",Kickapoo Downtown Airport,335133N,0982924W,VMC,0,0,0,1,Wichita Falls, TX,,,,,,
Fischer Air LLC,4/1/2010,United States,"Eden Prairie, MN",Flying Cloud Airport,444939N,0932731W,VMC,0,0,2,0,Eden Prairie, MN,,,,,,
LOPEZ PHILLIP,4/2/2010,United States,"Middletown, DE",Summit Airport,393136N,0754418W,VMC,1,0,1,0,Middletown, DE,,,,,,
Arthur Leidenfrost,4/3/2010,United States,"West Milford, NJ",Greenwood Lake,004161N,0742212W,VMC,1,0,1,0,West Milford, NJ,,,,,,
Micahel Cupaiole,4/3/2010,United States,"West Palm Beach, FL",Palm Beach County Park Airport,263535N,0008056W,VMC,1,0,0,0,West Palm Beach, FL,,,,,,
LUCIANO CRUZ EDISON A,4/3/2010,United States,"Humacao, PR",Humacao Airport,001881N,0664820W,VMC,1,0,0,0,Humacao, PR,,,,,,
WHISKEY DELTA LLC,4/3/2010,United States,"Princeton, KY",Princeton-Caldwell County Airp,037632N,0875115W,VMC,0,1,0,0,Princeton, KY,,,,,,
"Short Field Deliveries, LLC",4/3/2010,United States,"Maybee, MI",Private Airstrip,042014N,0833056W,VMC,0,0,0,2,Maybee, MI,,,,,,
275 LLC,4/3/2010,United States,"Montauck, NY",Montauk Airport,041435N,0715515W,VMC,0,1,0,0,Montauck, NY,,,,,,
American Aces Aviation,4/3/2010,United States,"New Hudson, MI",Oakland Southwest Airport,423011N,0833725W,VMC,0,0,0,1,New Hudson, MI,,,,,,
THOMPSON LOUDOUN L,4/3/2010,United States,"Romney, WV",Eastview Private Airport,392341N,0784046W,VMC,0,1,0,0,Romney, WV,,,,,,
Pacific Air Charters,4/4/2010,United States,"Honolulu, HI",Honolulu International Airport,021197N,1575520W,VMC,0,0,0,1,Honolulu, HI,,,,,,
Tailwheels Etc Inc.,4/4/2010,United States,"Winter Haven, FL",Winter Haven's Gilbert Airport,028346N,0814512W,VMC,0,0,0,1,Winter Haven, FL,,,,,,
CARTER DAVID C,4/5/2010,United States,"Muleshoe, TX",Muleshoe Muni,034116N,1023828W,VMC,0,1,0,1,Muleshoe, TX,,,,,,
Twin Air,4/6/2010,United States,"Temecula, CA",Private Helipad,333111N,0117136W,VMC,0,0,0,3,Temecula, CA,,,,,,
LERE STEVEN D,4/6/2010,United States,"Eveleth, MN",Sky Harbor Seaplane Base,472734N,0922835W,VMC,0,0,0,2,Eveleth, MN,,,,,,
Christopher Miller,4/7/2010,United States,"Columbia, CA",Columbia Airport,038149N,1202452W,VMC,0,0,0,3,Columbia, CA,,,,,,
Allen Friedlander,4/7/2010,United States,"Louisville, KY",Louisville International,381132N,0854424W,VMC,0,0,1,0,Louisville, KY,,,,,,
POLICIA DE PUERTO RICO,4/7/2010,United States,"Ponce, PR",Mercedita Airport,001800N,0066330W,VMC,0,0,0,3,Ponce, PR,,,,,,
Gary Pressler,4/7/2010,United States,"Cooperstown, NY",Cooperstown-Westville Airport,423733N,0745326W,VMC,0,2,0,0,Cooperstown, NY,,,,,,
David R. Chesney,4/7/2010,United States,"Greensboro, NC",Air Harbor,361025N,0794811W,VMC,0,0,0,1,Greensboro, NC,,,,,,
FISH N FLY LLC,4/7/2010,United States,"Moore Haven, FL",Okeechobee County Airport,271535N,0080511W,VMC,0,0,0,2,Moore Haven, FL,,,,,,
Cary Fletcher,4/8/2010,United States,"Creve Couer, MO",Creve Coeur,384336N,0903029W,VMC,0,0,0,2,Creve Couer, MO,,,,,,
WILLIAMS FERTILIZER SERVICES LLC,4/8/2010,United States,"Forest City, MO",Private,395759N,0009540W,VMC,0,0,0,1,Forest City, MO,,,,,,
CLAY LACY AVIATION,4/9/2010,United States,"Seattle, WA",Boeing Fld/King County Intern,473148N,0122187W,IMC,0,0,0,6,Seattle, WA,,,,,,
CALIFORNIA SHOCK-TRAUMA AIR RESCUE,4/9/2010,United States,"Santa Maria, CA",Santa Maria Public,345356N,1202727W,VMC,0,0,0,3,Santa Maria, CA,,,,,,
SOUTHWEST AIRLINES CO,4/10/2010,United States,"Los Angeles, CA",Los Angeles International,335648N,0118241W,VMC,0,0,0,109,Los Angeles, CA,,,,,,
JONES DOUGLAS A,4/10/2010,United States,"Lakeland, FL",Lakeland Linder Regional,275920N,0008214W,VMC,0,0,0,1,Lakeland, FL,,,,,,
LSA LLC,4/11/2010,United States,"Millbrook, NY",Sky Acres,414226N,0734416W,VMC,0,0,1,0,Millbrook, NY,,,,,,
"Rapid River Aviation, LLC",4/11/2010,United States,"Taft, CA",Taft-Kern County,035830N,1192617W,VMC,0,1,0,0,Taft, CA,,,,,,
Frank Edward Moore,4/11/2010,United States,"Louisburg, NC",Franklin County,036124N,0781948W,VMC,0,1,0,0,Louisburg, NC,,,,,,
Matthew M. Soddy,4/11/2010,United States,"Greenville, NC",Pitt-Greenville,035384N,0077234W,VMC,0,0,0,1,Greenville, NC,,,,,,
David L Dow,4/15/2010,United States,"Princeville, OR",Prineville,441713N,1205414W,VMC,0,0,0,1,Princeville, OR,,,,,,
GYLES ARTHUR JOHN,4/16/2010,United States,"Archer, FL",Flying Ten Airport,029372N,0823019W,VMC,1,0,0,0,Archer, FL,,,,,,
KRAMER CLEMENS E,4/16/2010,United States,"Lakeland, FL",Lakeland Linder Regional,275912N,0008214W,VMC,0,0,0,1,Lakeland, FL,,,,,,
P & C Aviation LLC,4/16/2010,United States,"Parkersburg, WV",Mid-Ohio Valley Regional,392043N,0812621W,VMC,0,0,0,2,Parkersburg, WV,,,,,,
Joe Kennington,4/17/2010,United States,"El Cajon, CA",Gillespie Field,324836N,1165812W,VMC,0,2,0,0,El Cajon, CA,,,,,,
Ventana Air LLC,4/17/2010,United States,"Fruitland, UT",Fruitland,401252N,1105017W,VMC,0,0,0,2,Fruitland, UT,,,,,,
David Wurfel,4/17/2010,United States,"Coldwater, KS",Commanche County,371325N,0991931W,VMC,0,0,0,2,Coldwater, KS,,,,,,
AirSign Inc.,4/18/2010,United States,"Zellwood, FL",Orlando North Airpark,284321N,0813933W,VMC,1,0,0,0,Zellwood, FL,,,,,,
RHODES JOHN D,4/19/2010,United States,"Burbank, CA",Bob Hope Airport,341012N,1182020W,VMC,0,0,0,124,Burbank, CA,,,,,,
Orange County Sheriff's Department RNSP,4/19/2010,United States,"Fullerton, CA",Fullerton Municipal,335219N,1175847W,VMC,0,0,0,2,Fullerton, CA,,,,,,
Birds in Paradise LLC,4/19/2010,United States,"Eleele, HI",Port Allen Airport,021559N,0159389W,VMC,0,0,0,2,Eleele, HI,,,,,,
Niels Bogh,4/19/2010,United States,"Burbank, CA",Burbank,034122N,1182131W,VMC,0,0,0,1,Burbank, CA,,,,,,
Robert Pike,4/20/2010,United States,"White Bear Lake, MN",Benson Airport,045659N,0925945W,VMC,0,1,0,0,White Bear Lake, MN,,,,,,
Leading Edge Aviation,4/21/2010,United States,"Tooele, UT",Tooele Valley,403543N,1122020W,VMC,0,1,0,1,Tooele, UT,,,,,,
Denis Boissonneault,4/21/2010,United States,"Shelbyville, IL",Shelby County Airport,392437N,0885043W,VMC,0,0,0,1,Shelbyville, IL,,,,,,
Caesar Creek Soaring Club,4/21/2010,United States,"Waynesville, OH",Waynesville,392836N,0084537W,VMC,0,1,0,0,Waynesville, OH,,,,,,
Airsign Inc,4/22/2010,United States,"Hampton, GA",Tara Field,332312N,0841934W,VMC,0,0,0,1,Hampton, GA,,,,,,
"Intergalactic Endeavor, LLC",4/23/2010,United States,"Livingston, TX",Livingston Municipal,030419N,0009515W,VMC,0,0,1,1,Livingston, TX,,,,,,
Waco Transport Business Trust,4/24/2010,United States,"Wurtsboro, NY",Wurtsboro-Sullivan County,413529N,0742718W,IMC,0,0,0,1,Wurtsboro, NY,,,,,,
COHEN BRUCE M,4/24/2010,United States,"Poughkeepsie, NY",Dutchess County Airport,413721N,0073532W,VMC,0,0,0,1,Poughkeepsie, NY,,,,,,
"Vincent Peter Cianfichi, Jr.",4/24/2010,United States,"Hoensdale, PA",Cherry Ridge Airport,413033N,0075153W,VMC,0,0,0,3,Hoensdale, PA,,,,,,
Darrly LeMire,4/25/2010,United States,"White Bear Lake, MN",Benson Airport,045659N,0925945W,VMC,0,0,0,2,White Bear Lake, MN,,,,,,
BUSH DONALD F,4/26/2010,United States,"Carollton, GA",West Georgia Regional,333732N,0008595W,VMC,0,0,0,2,Carollton, GA,,,,,,
PENINSULA AIRWAYS INC,4/26/2010,United States,"King Cove, AK",King Cove,665851N,1602547W,VMC,0,0,0,5,King Cove, AK,,,,,,
Silas Liechty,4/26/2010,United States,"Jamestown, ND",Jamestown Regional Airport,465547N,0984041W,VMC,0,0,0,1,Jamestown, ND,,,,,,
Douglas Hool,4/28/2010,United States,"North Las Vegas, NV",North Las Vegas,361238N,1151140W,VMC,0,0,0,1,North Las Vegas, NV,,,,,,
Pelican FTC,4/28/2010,United States,"Cross City, FL",Cross City,029384N,0083610W,VMC,0,0,0,1,Cross City, FL,,,,,,
CURTIS CHARLES,4/28/2010,United States,"Boulder, CO",Boulder,040213N,1051319W,VMC,0,0,0,1,Boulder, CO,,,,,,
Pilot,4/28/2010,United States,"Highland, IL",Highland-Winet Airport,384645N,0893827W,VMC,0,0,0,2,Highland, IL,,,,,,
SOUTHWEST AIRLINES CO,4/28/2010,United States,"Houston, TX",William P.  Hobby Airport,293858N,0951649W,VMC,0,0,0,140,Houston, TX,,,,,,
Winfield Scott Tanner,4/28/2010,United States,"Fuquay-Varina, NC",Fuquay-Angier Field,353223N,0784431W,VMC,0,0,0,4,Fuquay-Varina, NC,,,,,,
Jed Williams,4/29/2010,United States,"Fairbanks, AK",Fairbanks International,644855N,1475123W,VMC,0,0,0,1,Fairbanks, AK,,,,,,
SUNNYBRAE 192 LLC TRUSTEE,4/30/2010,United States,"El Paso, TX",El Paso,031490N,0106210W,VMC,0,2,0,0,El Paso, TX,,,,,,
LANGLEY AERO CLUB,4/30/2010,United States,"Hampton, VA",Langley Air Force Base,037435N,0762123W,VMC,0,0,0,1,Hampton, VA,,,,,,
CAYLIN LLC,5/1/2010,United States,"Parkersburg, WV",Mid-Ohio Valley Regional Airpo,392025N,0812613W,VMC,0,0,0,3,Parkersburg, WV,,,,,,
IASCO,5/1/2010,United States,"Willows, CA",Willows-Glenn County Airport,393056N,0122132W,VMC,0,0,0,2,Willows, CA,,,,,,
Ronald Ziegler,5/2/2010,United States,"Los Alamos, CA",Private,034460N,0120150W,VMC,0,0,0,2,Los Alamos, CA,,,,,,
William C. Selby,5/2/2010,United States,"Haysville, KS",Selby Farm Airport,381757N,0904911W,VMC,1,0,0,0,Haysville, KS,,,,,,
AUFDERHEIDE FLYING SERVICE INC,5/3/2010,United States,"DeWitt, AR",DeWitt Municipal Airport,341645N,0911947W,VMC,1,0,0,0,DeWitt, AR,,,,,,
SOUTH DELTA AVIATION INC,5/3/2010,United States,"Yuba City, CA",Vanderford Ranch CO Airport,039544N,1214259W,VMC,0,0,0,1,Yuba City, CA,,,,,,
ENOCH DOUGLAS M,5/3/2010,United States,"Angwin, CA",Angwin-Parrett Field Airport,383448N,0122267W,VMC,0,0,0,2,Angwin, CA,,,,,,
OPENSKY AIRWAYS LLC,5/3/2010,United States,"Palo Alto, CA",Palo Alto,372740N,0122654W,VMC,0,0,0,2,Palo Alto, CA,,,,,,
U S AVIATION GROUP LLC,5/5/2010,United States,"Fort Worth, TX",Fort Worth Alliance,325915N,0097197W,VMC,0,0,0,2,Fort Worth, TX,,,,,,
STP AVIATION LLP,5/6/2010,United States,"Yuma, AZ",Yuma International,323912N,1144256W,VMC,1,0,0,0,Yuma, AZ,,,,,,
County of Gwinnett Georgia,5/6/2010,United States,"West Palm Beach, FL",North Palm Beach County,265027N,0801330W,VMC,0,0,0,2,West Palm Beach, FL,,,,,,
CALIFORNIA HIGHWAY PATROL,5/7/2010,United States,"Borrego Springs, CA",Jacqueline Cochran Regional A,003326N,0011676W,VMC,1,0,0,0,Borrego Springs, CA,,,,,,
Ricki-Lee Halling,5/8/2010,United States,"Lake Havasu City, AZ",Lake Havasu City,343416N,1142130W,VMC,0,0,0,1,Lake Havasu City, AZ,,,,,,
MOYNAHAN FRANK J,5/9/2010,United States,"Newnan, GA",Newnan Coweta County Airport,331841N,0844611W,VMC,0,0,1,0,Newnan, GA,,,,,,
STORM FLYING SERV INC,5/9/2010,United States,"Webster, IA",Webster City Municipal Airport,422611N,0093528W,VMC,0,0,0,2,Webster, IA,,,,,,
COMMONWEALTH OF VIRGINIA,5/11/2010,United States,"Abingdon, VA",Virginia Highlands,364114N,0082159W,VMC,0,0,0,2,Abingdon, VA,,,,,,
NEOS LTD,5/11/2010,United States,"Big Lake, TX",Reagan County Airport,311156N,1012821W,VMC,0,1,0,0,Big Lake, TX,,,,,,
INTERNATIONAL JETS INC,5/12/2010,United States,"Homerville, GA",Homerville Airport,031313N,0804616W,VMC,0,0,0,3,Homerville, GA,,,,,,
David Duane Ayres,5/13/2010,United States,"Corvallis, OR",Corvallis Municipal Airport,442949N,1231722W,VMC,0,0,0,2,Corvallis, OR,,,,,,
Sheldon Arnett,5/14/2010,United States,"Redmond, OR",Roberts Field Airport,441514N,0121859W,VMC,1,0,0,0,Redmond, OR,,,,,,
"ITM Electronics, Inc",5/15/2010,United States,"Caldwell, ID",Owyhee Reservoir State,432529N,1172044W,VMC,0,1,0,1,Caldwell, ID,,,,,,
Salem Pilots Association,5/15/2010,United States,"Monument, OR",Monument Municipal,444955N,1192549W,VMC,0,0,0,2,Monument, OR,,,,,,
Clair A Roberts,5/15/2010,United States,"Moab, UT",Canyonlands,384518N,1094517W,VMC,0,0,0,2,Moab, UT,,,,,,
T F Hampton Ventures Inc.,5/15/2010,United States,"Hilliard, OH",Balloon Landing Area,395913N,0831225W,VMC,0,0,1,2,Hilliard, OH,,,,,,
ESMI FLIGHT SERVICES LLC,5/15/2010,United States,"Glens Falls, NY",Floyd Bennett Memorial Airport,431833N,0733822W,VMC,0,0,0,1,Glens Falls, NY,,,,,,
SKENANDORE EUGENE F,5/15/2010,United States,"Linton, ND",Linton Municipal Airport,461314N,1001444W,VMC,0,0,0,2,Linton, ND,,,,,,
Sierra Fliers LLC,5/16/2010,United States,"Reno, NV",Air Sailing Gliderport,039520N,0119420W,VMC,0,1,0,0,Reno, NV,,,,,,
Ernesto Gonzalez,5/16/2010,United States,"Clearwater, FL",Clearwater Airpark,275944N,0082457W,VMC,0,1,2,0,Clearwater, FL,,,,,,
SCOTT KYLE J,5/16/2010,United States,"Rushville, NE",Gordan Municipal Airport,424345N,1022524W,VMC,1,0,0,0,Rushville, NE,,,,,,
JEJ LEASING LLC,5/16/2010,United States,"Blue Hill, ME",Blue Hill Airport,442631N,0068346W,VMC,0,0,0,2,Blue Hill, ME,,,,,,
SAVANNAH AVIATION INC,5/16/2010,United States,"Jekyll Island, GA",Jekyll Island Airport,031428N,0812540W,VMC,0,0,0,1,Jekyll Island, GA,,,,,,
MEADOW LAKE FLIERS LLC,5/17/2010,United States,"Peyton, CO",Meadow Lake Airport,385644N,1043411W,VMC,0,1,0,0,Peyton, CO,,,,,,
Matthew J Healy,5/17/2010,United States,"Hopkinsville, KY",Hopkinsville-Christian County,365115N,0872711W,VMC,0,0,1,0,Hopkinsville, KY,,,,,,
ATLAS AIR INC,5/17/2010,United States,"Miami, FL",Miami International Airport,254743N,0801724W,VMC,0,0,0,3,Miami, FL,,,,,,
Alaska Air Service LLC,5/18/2010,United States,"Glenn, CA",Hamilton City,393724N,0122212W,VMC,0,0,0,1,Glenn, CA,,,,,,
GRANT ERIC,5/19/2010,United States,"Renton, WA",Renton Municipal,472935N,1221257W,VMC,0,0,0,1,Renton, WA,,,,,,
MCNEELY CHARTER SERVICE INC,5/19/2010,United States,"West Memphis, AR",West Memphis Municipal,003586N,0090144W,VMC,0,0,0,2,West Memphis, AR,,,,,,
3D GROUP LLC,5/20/2010,United States,"Farmingdale, NY",Republic Airport,404326N,0732429W,VMC,0,0,0,4,Farmingdale, NY,,,,,,
RUSTYS FLYING SERVICE,5/20/2010,United States,"D'Hanis, TX",Glasscock Field,292229N,0992031W,VMC,0,0,0,1,D'Hanis, TX,,,,,,
Kinderhook Aviation LLC,5/21/2010,United States,"Cambridge, NY",Chapin Field Airport,004330N,0732158W,VMC,0,0,0,2,Cambridge, NY,,,,,,
Waylon D. Crump,5/21/2010,United States,"Benson, AZ",Benson Municipal Airport,315958N,1102128W,VMC,0,2,0,0,Benson, AZ,,,,,,
SUNRISE DUSTERS INC,5/21/2010,United States,"Robbins, CA",Wagner Field,385219N,1214235W,VMC,0,0,1,0,Robbins, CA,,,,,,
USAirways Inc,5/21/2010,United States,"Anchorage, AK",Ted Stevens International Airp,555514N,1592924W,VMC,0,0,0,140,Anchorage, AK,,,,,,
CUSTOM AIR INC,5/21/2010,United States,"Roe, AR",Private strip,343228N,0912029W,VMC,0,0,0,1,Roe, AR,,,,,,
Corona's Pilot Escuela de Aviacion,5/21/2010,Venezuela,"Rio Negro, Bolivar, Venezuela",General Manuel Carlos Piar Int,008140N,0062440W,VMC,2,0,0,0,Rio Negro," Bolivar, Venezuela",,,,,,
Flying M Hunt Club INC,5/22/2010,United States,"Yerington, NV",Flying M Ranch,039011N,0119912W,VMC,0,0,0,1,Yerington, NV,,,,,,
RHOADS ERIC S DBA,5/22/2010,United States,"Las Vegas, NV",Henderson,355822N,0011584W,VMC,0,0,0,1,Las Vegas, NV,,,,,,
Southern Air Services LLC,5/22/2010,United States,"Lake Placid, FL",Sunray Airstrip,271724N,0812136W,VMC,0,0,0,1,Lake Placid, FL,,,,,,
RICHARD N. SUTLIFF,5/22/2010,United States,"Chugiak, AK",Bold Airport,612012N,1485912W,VMC,0,0,0,3,Chugiak, AK,,,,,,
PINE LAKE LEASING GROUP LLC,5/22/2010,United States,"Petaluma, CA",Petaluma Municipal,381528N,1223619W,VMC,0,0,0,1,Petaluma, CA,,,,,,
SKYWEST AIRLINES INC,5/23/2010,United States,"Ontario, CA",Ontario International Airport,034321N,0117364W,VMC,0,0,0,27,Ontario, CA,,,,,,
CADA CATTLE CO,5/23/2010,United States,"Kettle Falls, WA",Private Grass Strip,048286N,1181028W,VMC,0,0,0,1,Kettle Falls, WA,,,,,,
"Academy of Aviation, LLC.",5/24/2010,United States,"East Haddam, CT",Goodspeed,412644N,0722720W,VMC,0,0,0,4,East Haddam, CT,,,,,,
RICE HARRY J,5/24/2010,United States,"Paulden, AZ",Big Springs Ranch Airport,034522N,0112287W,VMC,1,0,0,0,Paulden, AZ,,,,,,
MICHELLE H. ELLER,5/24/2010,United States,"Tanana, AK",Ralph Calhoun Memorial Airport,065100N,0015260W,VMC,0,0,0,1,Tanana, AK,,,,,,
HAWAII PACIFIC AVIATION INC,5/25/2010,United States,"Kona, HI",Kona International,194420N,0156244W,VMC,0,0,0,1,Kona, HI,,,,,,
KS Aviation INC.,5/25/2010,United States,"Merced, CA",Castle -Merced,372249N,0120345W,VMC,0,0,0,1,Merced, CA,,,,,,
CHANDLER AIR SERVICE INC,5/26/2010,United States,"Chandler, AZ",Chandler Municipal Airport,331619N,1114817W,VMC,0,1,1,0,Chandler, AZ,,,,,,
Pinnacle Aviation Academy,5/26/2010,United States,"St. George, UT",St. George Municipal,037526N,1133535W,VMC,0,0,0,2,St. George, UT,,,,,,
FABBRI NANCY W,5/27/2010,United States,"Parker, CO",Everitt Airport,393126N,1043928W,VMC,0,0,0,2,Parker, CO,,,,,,
NFSS INC,5/28/2010,United States,"Jacksonville, FL",Cecil Field Airport,030137N,0815236W,VMC,0,1,0,0,Jacksonville, FL,,,,,,
WILLIAMS EVAN H,5/29/2010,United States,"Palo Alto, CA",Palo Alto Airport,037272N,0122558W,VMC,0,1,0,0,Palo Alto, CA,,,,,,
P-Factor LLC,5/29/2010,United States,"Boise, ID",Boise,433352N,1161322W,VMC,0,0,0,2,Boise, ID,,,,,,
COMER KENTON R,5/29/2010,United States,"Luling, TX",Carter Memorial Airport,294342N,0973933W,VMC,0,0,1,0,Luling, TX,,,,,,
HAYS JAMES B,5/29/2010,United States,"Early, TX",None,314722N,0985714W,VMC,0,0,0,1,Early, TX,,,,,,
PHILLIPS ARNOLD D,5/29/2010,United States,"Jefferson, TX",Cypress River,324423N,0941810W,VMC,0,1,0,0,Jefferson, TX,,,,,,
BRAMALL BUSTER I,5/29/2010,United States,"Waxahachie, TX",Private Airstrip,322312N,0955054W,VMC,0,0,0,2,Waxahachie, TX,,,,,,
Ilan Brand,5/29/2010,United States,"Avalon, CA",Catalina Airport,332418N,1182457W,VMC,0,0,0,4,Avalon, CA,,,,,,
CITY OF MEMPHIS,5/30/2010,United States,"Memphis, TN",Memphis Police Heliport,351459N,0090059W,VMC,0,0,0,2,Memphis, TN,,,,,,
Adventure Leasing,5/30/2010,United States,"Las Cruces, NM",Las Cruces International,321713N,1065511W,VMC,0,0,1,2,Las Cruces, NM,,,,,,
CHEZEM DANIEL R,5/30/2010,United States,"Prairie, ID",Smith Prairie,432958N,1153240W,VMC,0,0,2,0,Prairie, ID,,,,,,
MAPLE FIELD INC,5/30/2010,United States,"Chateaugay, NY",Chateaugay,445733N,0007428W,VMC,0,0,0,1,Chateaugay, NY,,,,,,
Elizabeth A. Fiala,5/31/2010,United States,"Oliver Springs, TN",Oliver Springs Airport,036215N,0841825W,VMC,0,2,0,0,Oliver Springs, TN,,,,,,
SAVARD PAULA K,5/31/2010,United States,"Sterling, MA",Sterling Airport,422527N,0714728W,VMC,0,0,0,3,Sterling, MA,,,,,,
Ray Palmer,5/31/2010,United States,"Glasco, KS",Palmer Field,392217N,0097472W,VMC,0,2,0,0,Glasco, KS,,,,,,
LIND EDWARD,5/31/2010,United States,"Wellington, KS",Wellington AIrport,371610N,0972323W,VMC,0,0,0,1,Wellington, KS,,,,,,
CHANDLER AIR SERVICE INC,5/31/2010,United States,"Chandler, AZ",Chandler Municipal Airport,033168N,1114840W,VMC,0,0,0,2,Chandler, AZ,,,,,,
Roland Longpre,6/1/2010,United States,"Visalia, CA",Private Runway,361947N,1191725W,VMC,0,0,0,1,Visalia, CA,,,,,,
Joseph E. Gibfried,6/1/2010,United States,"Wellington, KS",Wellington Municipal,371928N,0972314W,VMC,0,1,0,1,Wellington, KS,,,,,,
"DLRM, LLC.",6/1/2010,United States,"Greenfield, IN",Mount Comfort Airport,395037N,0855349W,VMC,0,0,0,1,Greenfield, IN,,,,,,
SPARTAN AVIATION INDUSTRIES INC,6/1/2010,United States,"Okmulgee, OK",Okmulgee Regional,035405N,0955655W,VMC,0,0,0,3,Okmulgee, OK,,,,,,
"Inland Helicopters, Inc.",6/2/2010,United States,"Spokane, WA",Felts Field,474126N,0117186W,VMC,1,0,0,0,Spokane, WA,,,,,,
Thomas Parnow,6/2/2010,United States,"Alturas, CA",Alturas,412859N,1203355W,VMC,0,1,0,1,Alturas, CA,,,,,,
Sport Flyers,6/2/2010,United States,"San Diego, CA",Gillespie,032490N,0116580W,VMC,0,0,1,0,San Diego, CA,,,,,,
EASTLAND AVIATION INC,6/3/2010,United States,"Humble, TX",None,295924N,0951618W,VMC,0,1,0,0,Humble, TX,,,,,,
Federal Aviation Administration (ASW-280),6/3/2010,United States,"Fort Worth, TX",Fort Worth Alliance,325916N,0097198W,VMC,0,0,0,2,Fort Worth, TX,,,,,,
Bonita Resources Inc.,6/4/2010,United States,"Port Clinton, OH",Carl R Keller Field Airport,413059N,0825210W,VMC,0,1,0,1,Port Clinton, OH,,,,,,
Great Lakes Aviation Inc.,6/4/2010,United States,"Anderson, IN",Anderson Municipal Airport,040631N,0853647W,VMC,0,0,0,1,Anderson, IN,,,,,,
Brett Aviation,6/4/2010,United States,"Baltimore, MD",Martin State Airport,391932N,0762449W,VMC,0,0,0,1,Baltimore, MD,,,,,,
Thomas Q. Ostrander,6/4/2010,United States,"Richfield, UT",Richfield Municipal,384411N,0112556W,VMC,0,0,0,1,Richfield, UT,,,,,,
Airline Transport Training Center Arizona Inc.,6/5/2010,United States,"Marana, AZ",Marana Regional,322819N,0111953W,VMC,0,0,0,3,Marana, AZ,,,,,,
Universal Air Academy,6/5/2010,United States,"La Verne, CA",Brackett Field Airport,034530N,1174655W,VMC,0,0,0,2,La Verne, CA,,,,,,
Amberdawn Mock,6/5/2010,United States,"Bountiful, UT",Skypark Airport,040501N,1114921W,VMC,0,1,0,1,Bountiful, UT,,,,,,
US AIRWAYS INC,6/5/2010,United States,"Charlotte, NC",Charlotte/Douglas Internationa,351249N,0805656W,VMC,0,0,0,454,Charlotte, NC,,,,,,
Grover D. Fulkerson,6/5/2010,United States,"Custer, SD",Custer County Airport,043440N,0103374W,VMC,0,0,0,1,Custer, SD,,,,,,
BARNSTORMER FLITE SIGNS INC,6/6/2010,United States,"North Myrtle Beach, SC",Grand Strand Airport,334842N,0784326W,VMC,0,1,0,0,North Myrtle Beach, SC,,,,,,
Edward L. Hale,6/6/2010,United States,"Kingfisher, OK",Kingfisher,355213N,0097579W,VMC,0,0,0,2,Kingfisher, OK,,,,,,
KONICKI JOSEPH S,6/7/2010,United States,"Edenton, NC",Northeastern Regional,036140N,0076341W,VMC,1,0,1,0,Edenton, NC,,,,,,
TRUSCHEL MICHAEL A,6/8/2010,United States,"Arlington, VA",Reagan National,038518N,0077216W,VMC,0,0,0,2,Arlington, VA,,,,,,
AERIAL ADVERTISING AGENCY LLC,6/8/2010,United States,"Toms River, NJ",Robert Miller Air Park,395538N,0741732W,VMC,0,0,0,2,Toms River, NJ,,,,,,
Roger Huntington,6/8/2010,United States,"Galena, AK",Galena,644410N,1565614W,VMC,0,0,0,1,Galena, AK,,,,,,
BRANTIGAN JOHN W,6/8/2010,United States,"Shaw Island, WA",Fowler Field,483536N,1225915W,VMC,0,0,0,2,Shaw Island, WA,,,,,,
FLIGHT EXPRESS INC,6/9/2010,United States,"Tampa, FL",Tampa International Airport,275831N,0823159W,VMC,0,0,0,1,Tampa, FL,,,,,,
MCLAUGHLIN JOHN H,6/9/2010,United States,"Ankeny, IA",Ankeny Regional Airport,414128N,0933359W,VMC,0,0,0,3,Ankeny, IA,,,,,,
