Air_Carrier,Event_Date,Country,Location,Airport_Name,Latitude,Longitude,Weather_Condition,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,City,State,Countries,Country_Fatal,Country_Uninjured,US_States,States_Fatal,States_Uninjured
Mascaro Air LLC.,3/23/2012,United States,"Wellington, FL",Wellington,262756N,0080859W,VMC,0,0,1,0,Wellington, FL,,,,,,
Kalispell Regiional Medical Center,3/23/2012,United States,"Conrad, MT",Conrad Airport,048105N,1115835W,IMC,0,0,0,5,Conrad, MT,,,,,,
McAir Aviation LLC,3/23/2012,United States,"Longmont, CO",Vance Brand,040913N,0105319W,VMC,2,1,0,0,Longmont, CO,,,,,,
"PlaneSmart! Aviation, LLC",3/23/2012,United States,"Addison, TX",Addison Airport,032587N,0965011W,VMC,0,0,0,2,Addison, TX,,,,,,
KRATINA KEVIN G,3/24/2012,United States,"Deland, FL",DeLand Municipal,002941N,0081172W,VMC,0,0,0,2,Deland, FL,,,,,,
WOODS EDWARD,3/24/2012,United States,"Bloomfield, IN",Shawnee Airport,039220N,0008705W,VMC,0,0,2,0,Bloomfield, IN,,,,,,
UNITED STATES AIR FORCE AERO CLUB,3/24/2012,United States,"Colorado Springs, CO",US Air Force Academy Airfield,038586N,1044828W,VMC,0,1,0,2,Colorado Springs, CO,,,,,,
Michael D Butler and Judith K Butler,3/24/2012,United States,"McKinney, TX",Collin County Regional,331040N,0963525W,IMC,0,0,0,1,McKinney, TX,,,,,,
Louis F. Fabre,3/24/2012,United States,"Casterville, TX",Casterville Municipal Airport,292026N,0985212W,IMC,0,0,0,3,Casterville, TX,,,,,,
ENBODY FRANK R,3/24/2012,United States,"Granite Shoals, TX",Sunrise Beach Airport,303535N,0982339W,VMC,1,0,1,0,Granite Shoals, TX,,,,,,
STAGGERWING AVIATION INC,3/24/2012,United States,"Calhan, CO",Aerobear Field,039253N,1041735W,VMC,0,0,1,0,Calhan, CO,,,,,,
ADVANCED AIR INC,3/24/2012,United States,"Council Bluffs, IA",Council Bluffs Municipal,411536N,0954531W,VMC,0,0,0,1,Council Bluffs, IA,,,,,,
CIVIL AIR PATROL INC,3/24/2012,United States,"Brooksville, FL",Hernando County Airport,282825N,0822720W,VMC,0,0,0,3,Brooksville, FL,,,,,,
Kevin R. Diel,3/24/2012,United States,"Dothan, AL",Dothan Regional Airport,311916N,0852658W,VMC,0,0,0,2,Dothan, AL,,,,,,
Gregory Schwartzenberger,3/25/2012,Bahamas,"Treasure Cay, Bahamas",Treasure Cay Airport,264443N,0772329W,VMC,4,0,0,0,Treasure Cay, Bahamas,,,,,,
Dallas W. Deardorff,3/25/2012,United States,"Coolin, ID",Cavanaugh Bay Airport,483114N,1164922W,VMC,0,0,0,2,Coolin, ID,,,,,,
BIL MAR FOODS INC DBA,3/27/2012,United States,"Battle Creek, MI",W K Kellogg Airport,421823N,0085150W,VMC,0,0,0,3,Battle Creek, MI,,,,,,
Robert A. Akins,3/28/2012,United States,"Larchwood, IA",Zangger Vintage Airport,043275N,0962421W,VMC,1,0,0,0,Larchwood, IA,,,,,,
Bay Area Aero Club,3/30/2012,United States,"Arcola, TX",Houston Southwest Airport,293022N,0952837W,VMC,0,1,0,0,Arcola, TX,,,,,,
KIRKLAND DANIEL L,3/30/2012,United States,"Casa Grande, AZ",Casa Grande Municipal Airport,325711N,0111461W,VMC,0,0,0,1,Casa Grande, AZ,,,,,,
CHALET SUZANNE AVIATION INC,3/31/2012,United States,"Lake Wales, FL",Chalet Suzanne Air Strip,027578N,0081363W,VMC,0,0,0,7,Lake Wales, FL,,,,,,
ON FILE,3/31/2012,United States,"Anahuac, TX",Chambers County Airport,294618N,0943948W,VMC,0,0,0,2,Anahuac, TX,,,,,,
Daniel J. Woosley,4/1/2012,United States,"Calhoun, KY",Woosley Field Airport,037333N,0871637W,VMC,1,0,0,0,Calhoun, KY,,,,,,
POWRACHUTE LLC,4/1/2012,United States,"Plant City, FL",Blackwater Creek Flightpark,002888N,0082828W,VMC,0,1,1,0,Plant City, FL,,,,,,
DES MOINES SKYDIVERS LLC,4/1/2012,United States,"Winterset, IA",Winterset Municipal Airport,411946N,0094038W,VMC,0,0,0,7,Winterset, IA,,,,,,
NELSON FLYING SERVICE,4/2/2012,United States,"Ganado, TX",Coastal Flying Service,285857N,0962444W,VMC,0,0,0,1,Ganado, TX,,,,,,
